iter	Passed	Remaining
422	2103	2869
423	2107	2863
424	2112	2858
425	2116	2852
426	2121	2846
427	2125	2841
428	2129	2834
429	2133	2828
430	2138	2823
431	2142	2817
432	2146	2811
433	2151	2806
434	2156	2800
435	2160	2795
436	2165	2789
437	2169	2783
438	2173	2777
439	2178	2772
440	2182	2766
441	2186	2760
442	2192	2756
443	2196	2750
444	2200	2744
445	2205	2739
446	2210	2734
447	2214	2728
448	2218	2722
449	2222	2716
450	2226	2710
451	2230	2704
452	2235	2699
453	2240	2694
454	2244	2688
455	2248	2682
456	2253	2677
457	2257	2672
458	2261	2666
459	2266	2660
460	2270	2654
461	2275	2649
462	2279	2644
463	2285	2640
464	2290	2635
465	2295	2630
466	2299	2624
467	2305	2621
468	2310	2615
469	2314	2609
470	2319	2604
471	2323	2599
472	2328	2594
473	2333	2589
474	2337	2583
475	2343	2579
476	2348	2574
477	2352	2569
478	2356	2563
479	2361	2558
480	2365	2552
481	2371	2548
482	2376	2543
483	2381	2539
484	2387	2534
485	2391	2529
486	2395	2523
487	2399	2517
488	2403	2512
489	2408	2506
490	2413	2502
491	2417	2496
492	2422	2491
493	2426	2485
494	2431	2480
495	2436	2475
496	2440	2470
497	2445	2465
498	2449	2459
499	2454	2454
500	2458	2448
501	2463	2443
502	2468	2438
503	2472	2433
504	2477	2428
505	2482	2423
506	2487	2418
507	2492	2414
508	2497	2408
509	2501	2403
510	2505	2397
511	2511	2394
512	2517	2389
513	2521	2384
514	2526	2379
515	2531	2374
516	2536	2369
517	2542	2365
518	2546	2360
519	2551	2355
520	2556	2350
521	2560	2344
522	2565	2340
523	2570	2334
524	2575	2330
525	2580	2325
526	2585	2320
527	2590	2315
528	2595	2310
529	2600	2305
530	2605	2301
531	2610	2296
532	2615	2291
533	2622	2288
534	2628	2284
535	2632	2278
536	2636	2273
537	2641	2268
538	2646	2263
539	2650	2257
540	2655	2252
541	2660	2247
542	2664	2242
543	2669	2237
544	2675	2233
545	2684	2231
546	2688	2226
547	2693	2221
548	2697	2216
549	2702	2211
550	2707	2206
551	2712	2201
552	2717	2196
553	2721	2190
554	2725	2185
555	2730	2180
556	2735	2175
557	2739	2170
558	2743	2164
559	2747	2159
560	2752	2153
561	2758	2149
562	2763	2144
563	2768	2139
564	2773	2135
565	2777	2129
566	2782	2124
567	2787	2119
568	2791	2114
569	2795	2108
570	2799	2103
571	2804	2098
572	2808	2092
573	2813	2087
574	2817	2082
575	2822	2077
576	2826	2071
577	2831	2067
578	2836	2062
579	2840	2056
580	2845	2052
581	2849	2046
582	2854	2041
583	2858	2035
584	2862	2030
585	2867	2025
586	2871	2020
587	2875	2014
588	2880	2010
589	2885	2005
590	2889	1999
591	2894	1994
592	2898	1989
593	2902	1983
594	2906	1978
595	2910	1973
596	2915	1967
597	2919	1962
598	2924	1957
599	2929	1952
600	2934	1947
601	2938	1943
602	2943	1938
603	2948	1932
604	2952	1927
605	2957	1922
606	2962	1918
607	2967	1913
608	2972	1908
609	2977	1903
610	2981	1898
611	2986	1893
612	2991	1888
613	2995	1883
614	2999	1877
615	3004	1872
616	3010	1868
617	3015	1864
618	3020	1859
619	3025	1854
620	3029	1849
621	3033	1843
622	3037	1838
623	3043	1833
624	3048	1829
625	3052	1823
626	3057	1819
627	3063	1814
628	3068	1809
629	3072	1804
630	3077	1799
631	3081	1794
632	3085	1789
633	3090	1783
634	3095	1779
635	3098	1773
636	3102	1768
637	3107	1763
638	3112	1758
639	3116	1752
640	3120	1747
641	3125	1742
642	3130	1737
643	3134	1732
644	3138	1727
645	3143	1722
646	3147	1717
647	3151	1711
648	3156	1706
649	3161	1702
650	3166	1697
651	3170	1692
652	3176	1687
653	3181	1683
654	3188	1679
655	3194	1675
656	3198	1669
657	3202	1664
658	3208	1660
659	3211	1654
660	3217	1649
661	3222	1645
662	3227	1640
663	3231	1635
664	3235	1629
665	3239	1624
666	3244	1619
667	3249	1614
668	3255	1610
669	3260	1605
670	3264	1600
671	3270	1596
672	3274	1590
673	3278	1585
674	3282	1580
675	3287	1575
676	3291	1570
677	3296	1565
678	3300	1560
679	3304	1555
680	3309	1550
681	3313	1544
682	3317	1539
683	3321	1534
684	3325	1529
685	3329	1524
686	3334	1519
687	3339	1514
688	3344	1509
689	3350	1505
690	3356	1500
691	3361	1495
692	3365	1490
693	3369	1485
694	3373	1480
695	3377	1475
696	3382	1470
697	3386	1465
698	3391	1460
699	3395	1455
700	3400	1450
701	3404	1445
702	3408	1440
703	3412	1434
704	3417	1429
705	3421	1424
706	3425	1419
707	3429	1414
708	3433	1409
709	3438	1404
710	3443	1399
711	3447	1394
712	3451	1389
713	3456	1384
714	3460	1379
715	3464	1374
716	3469	1369
717	3473	1364
718	3479	1359
719	3483	1354
720	3489	1350
721	3493	1345
722	3499	1340
723	3504	1336
724	3509	1331
725	3514	1326
726	3519	1321
727	3524	1316
728	3529	1312
729	3534	1307
730	3539	1302
731	3545	1298
732	3550	1293
733	3556	1288
734	3561	1284
735	3567	1279
736	3573	1275
737	3580	1271
738	3585	1266
739	3589	1261
